
-,-,-
-178.0,18.0,936.0
-166.0,34.0,980.0
-176.0,30.0,990.0
-186.0,22.0,976.0
-186.0,28.0,966.0
-190.0,24.0,942.0
-160.0,48.0,896.0
-136.0,56.0,810.0
-140.0,38.0,770.0
-48.0,66.0,732.0
120.0,30.0,412.0
58.0,74.0,202.0
-94.0,78.0,94.0
-72.0,-50.0,356.0
26.0,-38.0,1240.0
118.0,-62.0,1880.0
466.0,-112.0,2606.0
462.0,-122.0,2540.0
146.0,-116.0,2090.0
-86.0,-60.0,1674.0
-86.0,06.0,1202.0
-16.0,72.0,538.0
52.0,56.0,32.0
180.0,-12.0,-218.0
196.0,-22.0,-256.0
54.0,74.0,-168.0
114.0,52.0,86.0
32.0,48.0,420.0
-14.0,-54.0,928.0
52.0,-74.0,1534.0
226.0,-102.0,2090.0
324.0,-130.0,2354.0
446.0,-136.0,2336.0
390.0,-142.0,2036.0
372.0,-268.0,1348.0
94.0,-212.0,708.0
100.0,-186.0,430.0
254.0,-358.0,286.0
-40.0,-146.0,318.0
200.0,-254.0,614.0
94.0,-174.0,648.0
78.0,-116.0,760.0
88.0,-98.0,870.0
04.0,-2.0,956.0
52.0,-4.0,1036.0
88.0,-34.0,1028.0
76.0,-50.0,982.0
66.0,-46.0,982.0
46.0,-32.0,1024.0
08.0,-28.0,1010.0
-2.0,-62.0,978.0
-52.0,-64.0,926.0
-44.0,-108.0,898.0
-44.0,-106.0,946.0
-28.0,-78.0,958.0
-16.0,-90.0,954.0
-2.0,-70.0,986.0
-24.0,-52.0,966.0
-24.0,-70.0,960.0
-30.0,-40.0,976.0
-30.0,-32.0,950.0
-30.0,-48.0,948.0
-12.0,-60.0,960.0
-0.0,-60.0,948.0
-,-,-
-98.0,-4.0,962.0
-124.0,-2.0,956.0
-110.0,12.0,970.0
-110.0,04.0,956.0
-106.0,10.0,942.0
-122.0,12.0,948.0
-112.0,18.0,954.0
-86.0,04.0,962.0
-108.0,04.0,972.0
-118.0,-6.0,978.0
-122.0,-6.0,972.0
-108.0,08.0,952.0
-24.0,36.0,780.0
106.0,96.0,332.0
192.0,32.0,-36.0
176.0,-10.0,-198.0
-52.0,124.0,180.0
238.0,228.0,1186.0
178.0,470.0,2130.0
400.0,552.0,2806.0
398.0,518.0,2648.0
280.0,362.0,2122.0
218.0,180.0,1514.0
162.0,64.0,938.0
160.0,-16.0,370.0
238.0,-124.0,32.0
234.0,-24.0,-246.0
222.0,32.0,-248.0
240.0,-38.0,-292.0
18.0,20.0,-70.0
22.0,-52.0,448.0
-2.0,26.0,1102.0
480.0,-128.0,2088.0
966.0,-350.0,2508.0
940.0,-336.0,2434.0
714.0,-216.0,2170.0
544.0,-126.0,1716.0
392.0,-98.0,1028.0
220.0,-130.0,580.0
72.0,-232.0,74.0
50.0,-316.0,156.0
36.0,-282.0,290.0
12.0,-252.0,398.0
-48.0,-160.0,624.0
-52.0,-128.0,782.0
-94.0,-106.0,884.0
-100.0,-84.0,946.0
-132.0,16.0,950.0
-74.0,34.0,998.0
-34.0,22.0,1034.0
-108.0,60.0,1012.0
-76.0,02.0,982.0
-90.0,-32.0,956.0
-86.0,-32.0,932.0
-40.0,-50.0,946.0
-62.0,-34.0,956.0
-90.0,-8.0,962.0
-76.0,-16.0,982.0
-38.0,24.0,1002.0
-42.0,-2.0,986.0
-38.0,-36.0,984.0
-44.0,-22.0,980.0
-56.0,-16.0,960.0
-88.0,06.0,956.0
-,-,-
-88.0,-14.0,962.0
-106.0,04.0,968.0
-112.0,-18.0,952.0
-108.0,04.0,958.0
-92.0,06.0,956.0
-100.0,-10.0,964.0
-94.0,06.0,956.0
-118.0,-0.0,930.0
-84.0,06.0,872.0
-70.0,26.0,794.0
-46.0,30.0,674.0
-48.0,50.0,586.0
-70.0,50.0,462.0
-68.0,74.0,512.0
-22.0,96.0,730.0
94.0,-8.0,944.0
104.0,30.0,982.0
126.0,34.0,1088.0
152.0,-40.0,1234.0
248.0,26.0,1350.0
314.0,06.0,1486.0
364.0,02.0,1536.0
354.0,62.0,1536.0
290.0,76.0,1464.0
284.0,-0.0,1336.0
208.0,54.0,1304.0
168.0,-20.0,1232.0
106.0,-30.0,1074.0
-4.0,54.0,906.0
-30.0,-24.0,812.0
-56.0,-4.0,768.0
-76.0,24.0,622.0
-56.0,-12.0,532.0
-52.0,-16.0,512.0
-90.0,80.0,458.0
